recording_id,participant_id,level_name,window_s,src_quad,prev_quad,dst_quad,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,3,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16524499654769897,0.06971002370119095,-0.4369876980781555,0.5409970283508301,0.5972740054130554
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,0,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43038299679756165,0.13894687592983246,-0.6084257364273071,0.4945775866508484,0.46631038188934326
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,2,0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.33037400245666504,0.10236293822526932,0.7246488928794861,0.4281840920448303,0.544221043586731
2025-09-26_16-45-00-95032692,95032692,waldo_1,5.0,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.30024999380111694,0.06110542640089989,0.6991465091705322,0.3923999071121216,0.5937525033950806
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5604990124702454,0.10327685624361038,0.6183796525001526,0.5809944272041321,0.2706128656864166
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,1,1,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7316240072250366,0.03125494346022606,-0.8389537930488586,0.5536551475524902,0.2554657459259033
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,3,1,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.09499900043010712,0.34196823835372925,0.5056326389312744,0.5476042032241821,0.5973804593086243
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,2,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.20012900233268738,0.0865192860364914,0.7684565186500549,0.4829833209514618,0.654910683631897
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.11000599712133408,0.30626335740089417,-0.4332994520664215,0.5466909408569336,0.3553467094898224
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,1,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3402499854564667,0.07063347101211548,-0.41477370262145996,0.5653776526451111,0.2872299551963806
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,1,1,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20524999499320984,0.1188812404870987,0.5625677704811096,0.5421602129936218,0.4038219749927521
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,3,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.22023800015449524,0.201925128698349,0.5553629398345947,0.5072166323661804,0.6027005910873413
2025-09-26_16-45-00-95032692,95032692,waldo_2,5.0,1,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2952499985694885,0.22137250006198883,-0.4619200825691223,0.5336366891860962,0.3829103112220764
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,3,3,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1301250010728836,0.09767019003629684,0.9723062515258789,0.7285059690475464,0.5106884241104126
2025-09-26_19-01-53-2ec86210,2ec86210,waldo_1,5.0,3,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08512499928474426,0.16363324224948883,0.9248669147491455,0.5694099068641663,0.5489543676376343
