recording_id,participant_id,level_name,annotated_duration_s,gaze_points_raw,gaze_points_per_s,gaze_in_bounds_ratio_raw,gaze_entropy_raw,level_duration_s,total_fixations,avg_fixation_duration_s,total_fixation_duration_s,saccade_length_avg,saccade_length_median,scanpath_length_total,scanpath_length_per_s,fixation_dispersion,fixation_revisits,spatial_coverage_hull,fixation_grid_entropy_4x4,transition_entropy_4x4,unique_grid_cells_4x4,mean_distance_to_target,min_distance_to_target,waldo_fixations,waldo_fixation_duration_total_s,waldo_fixation_duration_avg_s,waldo_fixation_ratio,waldo_time_ratio,waldo_first_fixation_s,waldo_last_fixation_s,waldo_revisits,ttff_waldo_s,ttff_waldo_ratio,verification_time_after_first_hit_s,verification_time_ratio,direct_waldo_ratio,first_hit_type,gaze_entropy,surface_visibility_ratio_global,surface_gaze_ratio_global,fixation_density,fixation_rate_per_s,peripheral_gaze_rate,num_fixations_total,num_fixations_waldo,saliency_std,saliency_range,NSS_all_vs_saliency,NSS_waldo_vs_saliency,KL_fixmap_saliency,Pearson_fixmap_saliency,AUCJ_fix_saliency,AUCJ_waldo_saliency,SIM_fixmap_saliency,IG_fix_vs_centerbias,IG_waldo_vs_centerbias,TTFF_s
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_3,23.496000000000002,3539,150.6213823629554,0.985306583780729,6.445096326379023,23.496,58,0.3460875172413793,20.073076,0.2085967624774251,0.1477080156376812,11.890015461213231,0.506044239922252,0.2565804024745095,2.0,0.5559368504862765,3.522569991312608,1.4852605386280129,15,0.4636674732961983,0.0180160150523299,2,1.761623,0.8808115,0.0344827586206896,0.0877604907190108,61.301860096,62.097492224,0.0,22.337860096,0.950709060946544,1.1581399040000022,0.0492909390534559,0.5,direct,6.445096326379023,0.7178502879078695,0.7053781732530751,0.0516934046345811,2.468505277494041,0.5,58.0,2.0,0.3024527728557586,1.0,0.6010212871321493,0.6638594434837795,1.1365208951658372,0.2595931948636753,0.6728965517241379,0.7727499999999999,0.3978831959278041,0.4159136683611403,0.5284510599553256,22.337860096
2025-09-26_19-17-52-c0419fea,c0419fea,waldo_4,2.710000000000008,541,199.6309963099625,1.0,2.7581461856392346,2.710000000000008,5,0.6956734000000001,3.4783670000000004,0.0871892619848802,0.1044303407920781,0.348757047939521,0.128692637616059,0.0508980318651426,0.0,0.0076632622554224,0.7219280948873623,0.6887218755408672,2,0.0613742649194891,0.014357846343671,2,2.026992,1.013496,0.4,0.582742419071938,67.32235904,68.523496192,0.0,0.8233590399999997,0.3038225239852388,1.886640960000008,0.6961774760147611,1.0,direct,2.758146185639234,0.7178502879078695,0.7053781732530751,0.0044563279857397,1.8450184501844964,0.0,5.0,2.0,0.2657376229763031,1.0,1.289035031875685,1.2376574990856049,3.138473157802437,0.1426925440214215,0.97595,0.972625,0.0803411047158375,-0.4598591448612559,-0.4623951011078677,0.8233590399999997
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_1,60.736,11423,188.07626448893572,0.9962356648866323,6.4152182625537915,60.736,122,0.4363070655737704,53.229462,0.0545678658085512,0.047635947293479,6.602711762834697,0.1087116662742804,0.1276966859767073,6.0,0.2103398827287014,2.343207547532979,0.9542946326940268,10,0.166322653802746,0.0063164832330367,8,7.111860000000001,0.8889825000000001,0.0655737704918032,0.1336075874672564,30.087995136,57.703491072,2.0,30.087995136,0.495389804004215,30.648004864,0.504610195995785,0.625,direct,6.415218262553792,0.825219473264166,0.815321366060162,0.0589941972920696,2.0086933614330875,0.375,122.0,8.0,0.2580260634422302,1.0,0.8803611009285816,1.2895503998933493,1.4835014509779452,0.3070895649680393,0.8042766393442623,0.9711875,0.3018868953611988,-0.3027617317436562,-0.5685330838149658,30.087995136
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_2,13.595000000000006,2088,153.5858771607208,0.9554597701149425,5.862079148330585,13.595000000000006,27,0.3681113333333333,9.939006,0.1881559683430684,0.1217902641544584,4.892055176919779,0.3598422344185198,0.1910776446245571,0.0,0.3566970275376911,2.7534393533742927,1.3720989246425948,8,0.225747270357938,0.0237036792685271,2,1.5463730000000004,0.7731865000000002,0.074074074074074,0.1555862829743739,65.225489152,73.413115136,0.0,2.617489151999997,0.1925332219198232,10.977510848000009,0.8074667780801769,0.5,direct,5.862079148330585,0.825219473264166,0.815321366060162,0.0130560928433268,1.9860242736300104,0.5,27.0,2.0,0.2959208786487579,1.0,0.5028239422564874,0.5011047738204808,1.803536466033568,0.1540634834537178,0.561425925925926,0.565,0.2330609695317141,0.4921450225059101,-0.1125827340023137,2.617489151999997
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_3,16.305000000000007,2652,162.64949402023913,0.9649321266968326,6.144835326829394,16.305000000000007,40,0.3630925499999999,14.523701999999998,0.1598743213906548,0.0973843929554984,6.235098534235537,0.382404080603222,0.1736111541426476,0.0,0.2192551484514051,2.6353025453241545,1.5588201928069545,8,0.3271813196071759,0.0121608825653781,6,2.497386,0.416231,0.15,0.1719524402249509,92.740985088,95.688734976,0.0,12.005985088000005,0.7363376318920575,4.299014912000004,0.2636623681079424,0.0,peripheral,6.144835326829394,0.825219473264166,0.815321366060162,0.0193423597678916,2.4532352039251752,1.0,40.0,6.0,0.3024527728557586,1.0,0.5270636265104092,0.6891764536526317,1.697226512622584,0.1604841999237158,0.59764375,0.7835,0.2613121211290995,0.7430911528596021,0.682570755151508,12.005985088000005
2025-09-26_19-27-31-2699d4a1,2699d4a1,waldo_4,7.6839999999999975,1251,162.8058302967205,0.9760191846522782,4.314757164131415,7.683999999999997,15,0.4217340666666667,6.326011000000001,0.128299484165558,0.0915730125703322,1.7961927783178129,0.2337575193021621,0.1059072550097557,0.0,0.0622888423610185,2.2062389286533897,0.6603651784168951,5,0.2323844242850478,0.0286202224876562,1,2.322125,2.322125,0.0666666666666666,0.3670757132733407,104.82723328,104.82723328,0.0,5.324233280000001,0.6928986569495059,2.359766719999996,0.3071013430504941,1.0,direct,4.314757164131415,0.825219473264166,0.815321366060162,0.0072533849129593,1.952108276939095,0.0,15.0,1.0,0.2657376229763031,1.0,0.5399256928683877,0.6436679723977122,2.5297542289692063,0.1071715748248605,0.5903499999999999,0.66475,0.1339772303004363,0.0506473453052596,-0.5596265553400865,5.324233280000001
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_1,114.921,20049,174.4589761662359,0.9989026884133873,8.140187517933427,114.921,276,0.3779394963768115,104.311301,0.1104557504837786,0.0876754815582629,30.375331383039136,0.2643148892111897,0.2158421680978351,10.0,0.6233368864942171,3.7291048108276814,1.743845348330613,16,0.3010410325177082,0.0155329208343077,2,3.988749,1.9943745,0.0072463768115942,0.0382388960904629,72.852483072,129.675090176,0.0,57.385483072,0.4993472304626656,57.53551692800001,0.5006527695373344,0.5,peripheral,8.140187517933427,0.865469531939947,0.8505235760547183,0.0938775510204081,2.401649829012974,0.5,276.0,2.0,0.2580260634422302,1.0,0.6879308413113588,1.2149674916732314,0.4273247294338494,0.5626421268977495,0.7190978260869565,0.96175,0.6431911870221819,-0.0184232931379771,-0.5632673565353894,57.385483072
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_2,3.3499999999999943,470,140.2985074626868,1.0,2.6627723762685305,3.3499999999999943,7,0.6634639999999999,4.644247999999999,0.304937187983249,0.2623634229533927,1.8296231278994937,0.5461561575819394,0.2207575214670458,0.0,0.1929852309173672,2.5216406363433186,0.3333333333333333,6,0.3105658451208757,0.0376074573764223,1,2.557374,2.557374,0.1428571428571428,0.550654056372528,135.975963392,135.975963392,0.0,3.2239633920000017,0.9623771319403006,0.1260366079999926,0.0376228680596993,1.0,direct,2.6627723762685305,0.865469531939947,0.8505235760547183,0.0023809523809523,2.089552238805973,0.0,7.0,1.0,0.2959208786487579,1.0,0.616704071350319,0.4570617770719983,2.708612345025357,0.0927571315514193,0.6711428571428572,0.52875,0.1514853461153334,0.1944709203185419,-0.1330746712273676,3.2239633920000017
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_3,6.1580000000000155,1163,188.8600194868459,1.0,4.862093828444482,6.158000000000016,20,0.3811079,7.622158000000001,0.2590520701633169,0.2132518458125665,4.921989333103022,0.7992837500979229,0.2512713178927606,0.0,0.4402418383913133,3.621928094887362,0.631578947368421,13,0.4054369770727345,0.0238650820721603,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,4.862093828444482,0.865469531939947,0.8505235760547183,0.0068027210884353,3.2478077297823886,0.0,20.0,0.0,0.3024527728557586,1.0,0.4849666539827281,,2.039254921872689,0.115741168521551,0.6253500000000001,,0.2588106283147734,0.2256967624704282,,
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_4,2.3649999999999807,468,197.88583509513904,1.0,2.8015819547504726,2.3649999999999807,7,0.5683555714285714,3.978489,0.1523042776946414,0.1099419928528446,0.9138256661678488,0.3863956305149498,0.1172997284164044,0.0,0.0316320837484291,1.3787834934861751,1.0,3,0.1555241275234017,0.0239427101607533,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,none,2.801581954750473,0.865469531939947,0.8505235760547183,0.0023809523809523,2.959830866807635,0.0,7.0,0.0,0.2657376229763031,1.0,0.939561941133652,,3.061483727520601,0.121039631656463,0.8047857142857143,,0.1060653459546332,-0.55605876904867,,
