recording_id,participant_id,level_name,window_s,effective_window_s,total_search_time_s,label_found_waldo,label_first_hit_direct,early_fix_count,early_fix_rate,early_avg_fix_duration_s,early_total_fix_duration_s,early_saccade_length_avg,early_saccade_length_median,early_scanpath_length_total,early_scanpath_length_per_s,early_spatial_coverage_hull,early_fixation_entropy_4x4,early_transition_entropy_4x4,early_unique_grid_cells_4x4,early_mean_distance_to_target,early_min_distance_to_target,early_gaze_entropy,early_gaze_count,early_mean_saliency,early_max_saliency,early_waldo_hit_count,early_direct_hit_count,early_peripheral_hit_count,early_hit_any,level_median_search_s,label_long_search
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_1,5.0,4.999999999999998,114.921,1,0.0,17,3.4000000000000012,0.2470010588235294,4.199018,0.18652323641985996,0.14604454671896916,2.9843717827177594,0.5968743565435521,0.3220186207620671,2.9842341646524884,1.1721804688852169,9,0.3858679158902606,0.0864180574389677,5.018321212781428,937,0.7088012099266052,0.8417295813560486,0,0,0,0,96.9905,1
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_2,5.0,3.3499999999999943,3.3499999999999943,1,1.0,7,2.0895522388059735,0.6634639999999999,4.644247999999999,0.304937187983249,0.2623634229533927,1.8296231278994939,0.5461561575819394,0.1929852309173672,2.5216406363433186,0.3333333333333333,6,0.31056584512087576,0.03760745737642237,3.0526338383710594,470,0.8011074662208557,0.9152027368545532,1,1,0,1,7.363999999999997,0
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_3,5.0,5.0,6.1580000000000155,0,,17,3.4,0.23581023529411768,4.008774000000001,0.2549522090144589,0.21550984416248828,4.079235344231343,0.8158470688462686,0.4037148058760791,3.499227547132693,0.625,12,0.4683726205617731,0.07011493009401265,4.933888838495697,940,0.7801363468170166,0.8970778584480286,0,0,0,0,23.496000000000002,0
2025-09-26_19-29-58-b4f7a1df,b4f7a1df,waldo_4,5.0,2.3649999999999807,2.3649999999999807,0,,7,2.959830866807635,0.5683555714285714,3.9784889999999997,0.15230427769464147,0.10994199285284467,0.9138256661678489,0.38639563051494985,0.03163208374842916,1.3787834934861753,1.0,3,0.15552412752340175,0.023942710160753312,2.531241315895196,468,0.7649650573730469,0.9212876558303833,0,0,0,0,14.481999999999985,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_1,5.0,4.9999999999999964,33.24900000000001,1,0.0,14,2.800000000000002,0.2920717857142857,4.089005,0.12415359199487314,0.09363380581107876,1.6139966959333507,0.32279933918667036,0.07981001908174468,1.9211854965885542,1.108182458197438,5,0.19524614025343429,0.0321584091107269,4.290430560499914,712,0.7884684801101685,0.9988800883293152,1,0,1,1,96.9905,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_2,5.0,2.118000000000009,2.118000000000009,1,0.0,5,2.3607176581680727,0.6075718,3.037859,0.07211534005011294,0.07308583617037871,0.28846136020045177,0.1361951653448775,0.0079538251383238,1.5219280948873621,0.5,3,0.1079544244077795,0.022495255408130476,3.277651397455232,343,0.8229015469551086,0.8712391257286072,2,1,1,1,7.363999999999997,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_3,5.0,5.0,6.600999999999999,1,0.0,14,2.8,0.24022392857142855,3.3631349999999998,0.1921896390302633,0.10988183961522642,2.4984653073934227,0.49969306147868453,0.35385171914575575,2.495602923729013,0.4315108057259086,7,0.3095387142161338,0.025304313884013704,4.487109829749873,586,0.8121506571769714,0.8922384977340698,1,0,1,1,23.496000000000002,0
2025-09-26_19-37-31-91230d39,91230d39,waldo_4,5.0,3.2510000000000048,3.2510000000000048,1,1.0,4,1.2303906490310657,0.75444225,3.017769,0.10897282343270004,0.0951452222852162,0.3269184702981001,0.10055935721258064,0.001822463551255507,1.5,0.6666666666666666,3,0.11979149752350587,0.007154907885714205,1.4729083293989012,621,0.7292304039001465,0.7921919226646423,1,1,0,1,14.481999999999985,0
2025-09-26_19-39-21-36589e44,36589e44,waldo_1,5.0,5.0,143.491,1,0.0,7,1.4,0.4425724285714286,3.098007,0.08972100765631837,0.07877966953492713,0.5383260459379102,0.10766520918758204,0.011853473230258815,1.1488348542809166,0.6016067457394686,3,0.13468722524752774,0.024343260540083775,4.24681076005878,997,0.861162543296814,0.9572626352310181,1,0,1,1,96.9905,1
2025-09-26_19-39-21-36589e44,36589e44,waldo_2,5.0,5.0,33.792,1,0.0,15,3.0,0.2665904,3.998856,0.11820273302283438,0.09891023287212689,1.6548382623196813,0.3309676524639363,0.10530690062856782,2.2389205950315936,0.8760473218921717,6,0.28803355631364363,0.06507372239721344,5.008122905648277,998,0.8471034169197083,0.9195235967636108,1,0,1,1,7.363999999999997,1
2025-09-26_19-39-21-36589e44,36589e44,waldo_3,5.0,5.0,156.248,1,0.0,12,2.4,0.211875,2.5425,0.1077616762482745,0.081294954260765,1.1853784387310196,0.2370756877462039,0.06294562151070969,1.9508257945180887,0.8404647725305937,5,0.46640713419401353,0.3076774775757367,4.687705418234663,999,0.8576319217681885,0.9264450073242188,0,0,0,0,23.496000000000002,1
2025-09-26_19-39-21-36589e44,36589e44,waldo_4,5.0,5.0,91.03000000000003,1,0.0,13,2.6,0.3661152307692308,4.759498000000001,0.11181670371292901,0.10437512036329714,1.3418004445551481,0.26836008891102964,0.036539833966670134,1.2389012566026305,0.836820331663868,3,0.09948201183795871,0.030637876468493832,2.538402681455428,999,0.7127729654312134,0.9262169003486633,1,0,1,1,14.481999999999985,1
2025-09-26_20-20-21-410567f0,410567f0,waldo_1,5.0,5.0,95.90700000000001,1,0.0,11,2.2,0.4185770909090909,4.604348,0.19783155511129075,0.20305436486255526,1.9783155511129076,0.3956631102225815,0.12370023365123994,2.663532754804255,0.6754887502163468,7,0.20854887206536962,0.0933192711365748,4.422695595665656,940,0.7680372595787048,0.8725411295890808,0,0,0,0,96.9905,0
2025-09-26_20-20-21-410567f0,410567f0,waldo_2,5.0,4.088999999999999,4.088999999999999,0,,10,2.445585717779409,0.334812,3.34812,0.31940079024032453,0.16374319076722801,2.874607112162921,0.7030098097732751,0.5144801722233278,2.6464393446710157,0.3060986113514965,7,0.4768204914116416,0.0882434784317077,3.715741215893233,806,0.7088111639022827,0.8960810303688049,0,0,0,0,7.363999999999997,0
2025-09-26_20-20-21-410567f0,410567f0,waldo_3,5.0,5.000000000000014,32.70800000000001,0,,14,2.799999999999992,0.258471,3.618594,0.2045778912447427,0.1611062613425073,2.659512586181655,0.5319025172363295,0.26718358829755495,2.502736171594004,1.0972817312684926,6,0.4380261934283828,0.0731863339916841,5.0586154305695885,939,0.8155304193496704,0.8965622186660767,0,0,0,0,23.496000000000002,1
2025-09-26_20-20-21-410567f0,410567f0,waldo_4,5.0,5.0,91.86699999999999,0,,16,3.2,0.24742793750000003,3.9588470000000004,0.14587026267466424,0.12840051371065905,2.1880539401199637,0.4376107880239927,0.14556891123340737,2.146782221599798,1.1767656302935485,6,0.21864809633315213,0.02975151044494599,4.732900767501097,998,0.7147315740585327,0.8238218426704407,0,0,0,0,14.481999999999985,1
